Event,Search Source,Newspaper,Article Title,Duplicate,Report Date,Report Year,Article Text Search - water quality,Article Text Search - invasive species,Article Text Search - conservation,Article Text Search - drought,Article Text Search - flood,Article Text Search - ground water depletion,Article Text Search - depletion,Article Text Search - infrastructure,Article Text Search - fish passage,Article Text Search - instream water rights,Article Text Search - water rights,Article Text Search - intergovernmental,Article Text Search - water transfers,Article Text Search - navigation,Article Text Search - fish,Article Text Search - invasive,Article Text Search - diversion,Article Text Search - water diversion,Article Text Search - instream,Article Text Search - aquatic
122,USGS151-200.docx,"Journal, The (Cortez, Dolores, Mancos, CO)",Bennet and Romney raft Colorado River amid historic drought,FALSE,22-Sep-21,2021,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,USGS151-200.docx,"The Sun (Yuma, Arizona)",Water expert: Yuma's threat to its supply from within,FALSE,22-Mar-13,2013,0,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0
132,USGS151-200.docx,"The Arizona Daily Sun (Flagstaff, AZ)",Contentious water bill withdrawn after threat to drought plan,FALSE,19-Feb-19,2019,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
134,USGS151-200.docx,Arizona Daily Star (Tucson),AZ to spend $30M in water plan,FALSE,25-Oct-21,2021,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
136,USGS151-200.docx,"Eastern Arizona Courier (Safford, Arizona)",Arizona hopes to buy water rights from tribes,FALSE,24-Oct-21,2021,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
140,USGS151-200.docx,Casa Grande Dispatch (AZ),House speaker withdraws his controversial water measure,FALSE,20-Feb-19,2019,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
162,USGS201-250.docx,Seattle Times (Washington),Green River levees slowly deteriorating,FALSE,8-Mar-06,2006,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,USGS251-300.docx,The Salt Lake Tribune (Utah),"Northern Utah's thirst: Bear river untapped, tempting: Waterway seems ripe for supplying urban areas, but river and wildlife advocates say: Not so fast",FALSE,26-Jul-08,2008,3,0,7,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
230,USGS251-300.docx,The Montrose Daily Press (Colorado),OUTDOORS: Getting to know your watershed,FALSE,4-Jun-21,NA,2,0,3,5,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1
247,USGS251-300.docx,"The Explorer (Tucson, Arizona)",40 Million People Rely on the Colorado River. Its Drying Up Fast,TRUE,31-Aug-21,NA,1,0,0,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
249,USGS251-300.docx,"Desert Times (Tucson, Arizona)",40 Million People Rely on the Colorado River. Its Drying Up Fast,TRUE,NA,NA,1,0,0,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
250,USGS251-300.docx,Glasgow Daily Times (Kentucky),Officials assessing storm damage,FALSE,7-May-10,2010,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
